"SecretarialAreaCode","SecretarialAreaTitle","AgencyCode","AgencyTitle","bill","year","type","amount"
"03","Education","211","Virginia Military Institute","1283","2019","NGF",70108461
"03","Education","211","Virginia Military Institute","1283","2019","Total",85350353
"03","Education","211","Virginia Military Institute","1283","2020","GF",18269140
"03","Education","211","Virginia Military Institute","1283","2020","NGF",70508023
"03","Education","211","Virginia Military Institute","1283","2020","Total",88777163
"03","Education","211","Virginia Military Institute","1","2021","GF",19414248
"03","Education","211","Virginia Military Institute","1","2021","NGF",71642738
"03","Education","211","Virginia Military Institute","1","2021","Total",91056986
"03","Education","211","Virginia Military Institute","1","2022","GF",19669996
"03","Education","211","Virginia Military Institute","1","2022","NGF",71642738
"03","Education","211","Virginia Military Institute","1","2022","Total",91312734
"03","Education","211","Virginia Military Institute","1","2023","GF",28271965
"03","Education","211","Virginia Military Institute","1","2023","NGF",77474788
"03","Education","211","Virginia Military Institute","1","2023","Total",105746753
"03","Education","211","Virginia Military Institute","1","2024","GF",27547265
"03","Education","211","Virginia Military Institute","1","2024","NGF",77274228
"03","Education","211","Virginia Military Institute","1","2024","Total",104821493
"03","Education","212","Virginia State University","1283","2019","GF",44982297
"03","Education","212","Virginia State University","1283","2019","NGF",121300003
"03","Education","212","Virginia State University","1283","2019","Total",166282300
"03","Education","212","Virginia State University","1283","2020","GF",46527747
"03","Education","212","Virginia State University","1283","2020","NGF",121524467
"03","Education","212","Virginia State University","1283","2020","Total",168052214
"03","Education","212","Virginia State University","1","2021","GF",55105685
"03","Education","212","Virginia State University","1","2021","NGF",128680604
"03","Education","212","Virginia State University","1","2021","Total",183786289
"03","Education","212","Virginia State University","1","2022","GF",56304410
"03","Education","212","Virginia State University","1","2022","NGF",128680604
"03","Education","212","Virginia State University","1","2022","Total",184985014
"03","Education","212","Virginia State University","1","2023","GF",80400715
"03","Education","212","Virginia State University","1","2023","NGF",131216022
"03","Education","212","Virginia State University","1","2023","Total",211616737
"03","Education","212","Virginia State University","1","2024","GF",85074537
"03","Education","212","Virginia State University","1","2024","NGF",131216022
"03","Education","212","Virginia State University","1","2024","Total",216290559
"03","Education","213","Norfolk State University","1283","2019","GF",58802816
"03","Education","213","Norfolk State University","1283","2019","NGF",104624747
"03","Education","213","Norfolk State University","1283","2019","Total",163427563
"03","Education","213","Norfolk State University","1283","2020","GF",61232527
"03","Education","213","Norfolk State University","1283","2020","NGF",104978737
"03","Education","213","Norfolk State University","1283","2020","Total",166211264
"03","Education","213","Norfolk State University","1","2021","GF",70934961
"03","Education","213","Norfolk State University","1","2021","NGF",109203387
"03","Education","213","Norfolk State University","1","2021","Total",180138348
"03","Education","213","Norfolk State University","1","2022","GF",80480336
"03","Education","213","Norfolk State University","1","2022","NGF",109203387
"03","Education","213","Norfolk State University","1","2022","Total",189683723
"03","Education","213","Norfolk State University","1","2023","GF",104053386
"03","Education","213","Norfolk State University","1","2023","NGF",119408910
"03","Education","213","Norfolk State University","1","2023","Total",223462296
"03","Education","213","Norfolk State University","1","2024","GF",107099295
"03","Education","213","Norfolk State University","1","2024","NGF",119408910
"03","Education","213","Norfolk State University","1","2024","Total",226508205
"03","Education","214","Longwood University","1283","2019","GF",33227949
"03","Education","214","Longwood University","1283","2019","NGF",111987754
"03","Education","214","Longwood University","1283","2019","Total",145215703
"03","Education","214","Longwood University","1283","2020","GF",35119231
"03","Education","214","Longwood University","1283","2020","NGF",112537754
"03","Education","214","Longwood University","1283","2020","Total",147656985
"03","Education","214","Longwood University","1","2021","GF",37288672
"03","Education","214","Longwood University","1","2021","NGF",113928071
"03","Education","214","Longwood University","1","2021","Total",151216743
"03","Education","214","Longwood University","1","2022","GF",38213482
"03","Education","214","Longwood University","1","2022","NGF",116428071
"03","Education","214","Longwood University","1","2022","Total",154641553
"03","Education","214","Longwood University","1","2023","GF",46114559
"03","Education","214","Longwood University","1","2023","NGF",118386759
"03","Education","214","Longwood University","1","2023","Total",164501318
"03","Education","214","Longwood University","1","2024","GF",47654759
"03","Education","214","Longwood University","1","2024","NGF",118386759
"03","Education","214","Longwood University","1","2024","Total",166041518
"03","Education","215","University of Mary Washington","1283","2019","GF",32284770
"03","Education","215","University of Mary Washington","1283","2019","NGF",106286963
"03","Education","215","University of Mary Washington","1283","2019","Total",138571733
"03","Education","215","University of Mary Washington","1283","2020","GF",33357601
"03","Education","215","University of Mary Washington","1283","2020","NGF",106286963
"03","Education","215","University of Mary Washington","1283","2020","Total",139644564
"03","Education","215","University of Mary Washington","1","2021","GF",35475679
"03","Education","215","University of Mary Washington","1","2021","NGF",108116030
"03","Education","215","University of Mary Washington","1","2021","Total",143591709
"03","Education","215","University of Mary Washington","1","2022","GF",36513979
"03","Education","215","University of Mary Washington","1","2022","NGF",108616030
"03","Education","215","University of Mary Washington","1","2022","Total",145130009
"03","Education","215","University of Mary Washington","1","2023","GF",46683782
"03","Education","215","University of Mary Washington","1","2023","NGF",118382024
"03","Education","215","University of Mary Washington","1","2023","Total",165065806
"03","Education","215","University of Mary Washington","1","2024","GF",48210782
"03","Education","215","University of Mary Washington","1","2024","NGF",118382024
"03","Education","215","University of Mary Washington","1","2024","Total",166592806
"03","Education","216","James Madison University","1283","2019","GF",93924239
"03","Education","216","James Madison University","1283","2019","NGF",490557543
"03","Education","216","James Madison University","1283","2019","Total",584481782
"03","Education","216","James Madison University","1283","2020","GF",98202166
"03","Education","216","James Madison University","1283","2020","NGF",490557543
"03","Education","216","James Madison University","1283","2020","Total",588759709
"03","Education","216","James Madison University","1","2021","GF",108156098
"03","Education","216","James Madison University","1","2021","NGF",542779447
"03","Education","216","James Madison University","1","2021","Total",650935545
"03","Education","216","James Madison University","1","2022","GF",113435498
"03","Education","216","James Madison University","1","2022","NGF",542779447
"03","Education","216","James Madison University","1","2022","Total",656214945
"03","Education","216","James Madison University","1","2023","GF",144494225
"03","Education","216","James Madison University","1","2023","NGF",556485957
"03","Education","216","James Madison University","1","2023","Total",700980182
"03","Education","216","James Madison University","1","2024","GF",150126913
"03","Education","216","James Madison University","1","2024","NGF",556485957
"03","Education","216","James Madison University","1","2024","Total",706612870
"03","Education","217","Radford University","1283","2019","GF",62485517
"03","Education","217","Radford University","1283","2019","NGF",150718412
"03","Education","217","Radford University","1283","2019","Total",213203929
"03","Education","217","Radford University","1283","2020","GF",66215605
"03","Education","217","Radford University","1283","2020","NGF",171352660
"03","Education","217","Radford University","1283","2020","Total",237568265
"03","Education","217","Radford University","1","2021","GF",70057608
"03","Education","217","Radford University","1","2021","NGF",178894801
"03","Education","217","Radford University","1","2021","Total",248952409
"03","Education","217","Radford University","1","2022","GF",80596008
"03","Education","217","Radford University","1","2022","NGF",178894801
"03","Education","217","Radford University","1","2022","Total",259490809
"03","Education","217","Radford University","1","2023","GF",94904364
"03","Education","217","Radford University","1","2023","NGF",162057851
"03","Education","217","Radford University","1","2023","Total",256962215
"03","Education","217","Radford University","1","2024","GF",103261064
"03","Education","217","Radford University","1","2024","NGF",162057851
"03","Education","217","Radford University","1","2024","Total",265318915
"03","Education","218","Virginia School for the Deaf and the Blind","1283","2019","GF",10784090
"03","Education","218","Virginia School for the Deaf and the Blind","1283","2019","NGF",1306082
"03","Education","218","Virginia School for the Deaf and the Blind","1283","2019","Total",12090172
"03","Education","218","Virginia School for the Deaf and the Blind","1283","2020","GF",10784090
"03","Education","218","Virginia School for the Deaf and the Blind","1283","2020","NGF",1306082
"03","Education","218","Virginia School for the Deaf and the Blind","1283","2020","Total",12090172
"03","Education","218","Virginia School for the Deaf and the Blind","1","2021","GF",11402948
"03","Education","218","Virginia School for the Deaf and the Blind","1","2021","NGF",1321287
"03","Education","218","Virginia School for the Deaf and the Blind","1","2021","Total",12724235
"03","Education","218","Virginia School for the Deaf and the Blind","1","2022","GF",11402948
"03","Education","218","Virginia School for the Deaf and the Blind","1","2022","NGF",1321287
"03","Education","218","Virginia School for the Deaf and the Blind","1","2022","Total",12724235
"03","Education","218","Virginia School for the Deaf and the Blind","1","2023","GF",12385654
"03","Education","218","Virginia School for the Deaf and the Blind","1","2023","NGF",1349326
"03","Education","218","Virginia School for the Deaf and the Blind","1","2023","Total",13734980
"03","Education","218","Virginia School for the Deaf and the Blind","1","2024","GF",11940654
"03","Education","218","Virginia School for the Deaf and the Blind","1","2024","NGF",1349326
"03","Education","218","Virginia School for the Deaf and the Blind","1","2024","Total",13289980
"03","Education","221","Old Dominion University","1283","2019","GF",151806536
"03","Education","221","Old Dominion University","1283","2019","NGF",307644383
"03","Education","221","Old Dominion University","1283","2019","Total",459450919
"03","Education","221","Old Dominion University","1283","2020","GF",157134786
"03","Education","221","Old Dominion University","1283","2020","NGF",315799871
"03","Education","221","Old Dominion University","1283","2020","Total",472934657
"03","Education","221","Old Dominion University","1","2021","GF",174522434
"03","Education","221","Old Dominion University","1","2021","NGF",323432574
"03","Education","221","Old Dominion University","1","2021","Total",497955008
"03","Education","221","Old Dominion University","1","2022","GF",184359434
"03","Education","221","Old Dominion University","1","2022","NGF",323432574
"03","Education","221","Old Dominion University","1","2022","Total",507792008
"03","Education","221","Old Dominion University","1","2023","GF",216033362
"03","Education","221","Old Dominion University","1","2023","NGF",331021299
"03","Education","221","Old Dominion University","1","2023","Total",547054661
"03","Education","221","Old Dominion University","1","2024","GF",234251812
"03","Education","221","Old Dominion University","1","2024","NGF",331452299
"03","Education","221","Old Dominion University","1","2024","Total",565704111
"03","Education","229","Virginia Cooperative Extension and Agricultural Experiment Station","1283","2019","GF",71916297
"03","Education","229","Virginia Cooperative Extension and Agricultural Experiment Station","1283","2019","NGF",18170708
"03","Education","229","Virginia Cooperative Extension and Agricultural Experiment Station","1283","2019","Total",90087005
"03","Education","229","Virginia Cooperative Extension and Agricultural Experiment Station","1283","2020","GF",72960664
"03","Education","229","Virginia Cooperative Extension and Agricultural Experiment Station","1283","2020","NGF",18170708
"03","Education","229","Virginia Cooperative Extension and Agricultural Experiment Station","1283","2020","Total",91131372
"03","Education","229","Virginia Cooperative Extension and Agricultural Experiment Station","1","2021","GF",74823528
"03","Education","229","Virginia Cooperative Extension and Agricultural Experiment Station","1","2021","NGF",19041304
